symbol,name,mega_sector,sector,industry,sub_industry,tags,shares_outstanding_cr,free_float_pct,nifty_universes
RELIANCE,Reliance Industries,ENERGY,OIL_GAS,,,,676.0,50,NIFTY50|NIFTY100|NIFTY200|NIFTY500
TCS,Tata Consultancy Services,TECHNOLOGY,IT_SERVICES,,,EXPORT|HIGH_ROE,365.0,28,NIFTY50|NIFTY100|NIFTY200|NIFTY500
INFY,Infosys,TECHNOLOGY,IT_SERVICES,,,EXPORT|HIGH_ROE,415.0,84,NIFTY50|NIFTY100|NIFTY200|NIFTY500
HCLTECH,HCL Technologies,TECHNOLOGY,IT_SERVICES,,,EXPORT,271.0,39,NIFTY50|NIFTY100|NIFTY200|NIFTY500
WIPRO,Wipro,TECHNOLOGY,IT_SERVICES,,,EXPORT,494.0,26,NIFTY50|NIFTY100|NIFTY200|NIFTY500
HDFCBANK,HDFC Bank,FINANCIALS,BANKS,PRIVATE_BANKS,,HIGH_ROE,760.0,100,NIFTY50|NIFTY100|NIFTY200|NIFTY500
ICICIBANK,ICICI Bank,FINANCIALS,BANKS,PRIVATE_BANKS,,HIGH_ROE,701.0,100,NIFTY50|NIFTY100|NIFTY200|NIFTY500
KOTAKBANK,Kotak Mahindra Bank,FINANCIALS,BANKS,PRIVATE_BANKS,,,199.0,100,NIFTY50|NIFTY100|NIFTY200|NIFTY500
AXISBANK,Axis Bank,FINANCIALS,BANKS,PRIVATE_BANKS,,,308.0,100,NIFTY50|NIFTY100|NIFTY200|NIFTY500
INDUSINDBK,IndusInd Bank,FINANCIALS,BANKS,PRIVATE_BANKS,,,77.0,100,NIFTY50|NIFTY100|NIFTY200|NIFTY500
SBIN,State Bank of India,FINANCIALS,BANKS,PSU_BANKS,,GOVERNMENT_COMPANY|PSU,892.0,43,NIFTY50|NIFTY100|NIFTY200|NIFTY500
BANKBARODA,Bank of Baroda,FINANCIALS,BANKS,PSU_BANKS,,GOVERNMENT_COMPANY|PSU,517.0,36,NIFTY50|NIFTY100|NIFTY200|NIFTY500
PNB,Punjab National Bank,FINANCIALS,BANKS,PSU_BANKS,,GOVERNMENT_COMPANY|PSU,1387.0,27,NIFTY50|NIFTY100|NIFTY200|NIFTY500
BAJFINANCE,Bajaj Finance,FINANCIALS,NBFC,,,HIGH_ROE,98.0,86,NIFTY50|NIFTY100|NIFTY200|NIFTY500
BAJAJFINSV,Bajaj Finserv,FINANCIALS,NBFC,,,,159.0,60,NIFTY50|NIFTY100|NIFTY200|NIFTY500
